Property                                                            Type          Read-only  Value
CLASS                                                               string        true       hw_device
NAME                                                                string        true       xc7z020_1
PART                                                                string        true       xc7z020
VARIANT_NAME                                                        string        true
PROGRAM.LOG                                                         string        true
INDEX                                                               int           true       1
IDCODE                                                              string        true       00100011011100100111000010010011
IDCODE_HEX                                                          string        true       23727093
IR_LENGTH                                                           int           true       6
USER_CHAIN_COUNT                                                    string        true       4
IS_SYSMON_SUPPORTED                                                 bool          true       1
PROGRAM.IS_SUPPORTED                                                bool          true       1
PROGRAM.FILE                                                        string        false      fpga.bit
PROGRAM.OPTIONS                                                     string        false
PROGRAM.HW_BITSTREAM                                                hw_bitstream  true       fpga.bit
AUTH_JTAG.FILE                                                      string        false
PROBES.FILE                                                         string        false
FULL_PROBES.FILE                                                    string        false
PARTIAL_PROBES.FILES                                                string*       false
PROGRAM.HW_CFGMEM                                                   hw_cfgmem     true
PROGRAM.HW_CFGMEM_BITFILE                                           string        true
PROGRAM.HW_CFGMEM_TYPE                                              string        true
PROGRAM.READBACK_FILE                                               string        false
PROGRAM.IS_RSA_PROGRAMMED                                           bool          true       0
PROGRAM.IS_AES_PROGRAMMED                                           bool          true       0
PROGRAM.DPA_PROTECT                                                 bool          false      0
PROGRAM.DPA_COUNT                                                   int           false      0
PROGRAM.DPA_MODE                                                    string        false
REGISTER.BOOT_STATUS                                                string        true       00000000000000000000000000000001
REGISTER.BOOT_STATUS.BIT00_0_STATUS_VALID                           string        true       1
REGISTER.BOOT_STATUS.BIT01_0_FALLBACK                               string        true       0
REGISTER.BOOT_STATUS.BIT02_0_INTERNAL_PROG                          string        true       0
REGISTER.BOOT_STATUS.BIT03_0_WATCHDOG_TIMEOUT_ERROR                 string        true       0
REGISTER.BOOT_STATUS.BIT04_0_ID_ERROR                               string        true       0
REGISTER.BOOT_STATUS.BIT05_0_CRC_ERROR                              string        true       0
REGISTER.BOOT_STATUS.BIT06_0_WRAP_ERROR                             string        true       0
REGISTER.BOOT_STATUS.BIT07_0_SECURITY_ERROR                         string        true       0
REGISTER.BOOT_STATUS.BIT08_1_STATUS_VALID                           string        true       0
REGISTER.BOOT_STATUS.BIT09_1_FALLBACK                               string        true       0
REGISTER.BOOT_STATUS.BIT10_1_INTERNAL_PROG                          string        true       0
REGISTER.BOOT_STATUS.BIT11_1_WATCHDOG_TIMEOUT_ERROR                 string        true       0
REGISTER.BOOT_STATUS.BIT12_1_ID_ERROR                               string        true       0
REGISTER.BOOT_STATUS.BIT13_1_CRC_ERROR                              string        true       0
REGISTER.BOOT_STATUS.BIT14_1_WRAP_ERROR                             string        true       0
REGISTER.BOOT_STATUS.BIT15_1_SECURITY_ERROR                         string        true       0
REGISTER.BOOT_STATUS.BIT16_RESERVED                                 string        true       0000000000000000
REGISTER.CONFIG_STATUS                                              string        true       01000110000100000111111111111100
REGISTER.CONFIG_STATUS.BIT00_CRC_ERROR                              string        true       0
REGISTER.CONFIG_STATUS.BIT01_DECRYPTOR_ENABLE                       string        true       0
REGISTER.CONFIG_STATUS.BIT02_PLL_LOCK_STATUS                        string        true       1
REGISTER.CONFIG_STATUS.BIT03_DCI_MATCH_STATUS                       string        true       1
REGISTER.CONFIG_STATUS.BIT04_END_OF_STARTUP_(EOS)_STATUS            string        true       1
REGISTER.CONFIG_STATUS.BIT05_GTS_CFG_B_STATUS                       string        true       1
REGISTER.CONFIG_STATUS.BIT06_GWE_STATUS                             string        true       1
REGISTER.CONFIG_STATUS.BIT07_GHIGH_STATUS                           string        true       1
REGISTER.CONFIG_STATUS.BIT08_MODE_PIN_M[0]                          string        true       1
